id,name,country,latitude,longitude,precision,verification_status,source,source_id,notes
place-popes-creek-us,Pope's Creek,United States,38.1928,-76.93,exact,automatically_matched,https://www.openstreetmap.org/?mlat=38.1928&mlon=-76.93#map=11/38.1928/-76.93,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-mount-vernon-us,Mount Vernon,United States,38.7079,-77.0861,exact,automatically_matched,https://www.openstreetmap.org/?mlat=38.7079&mlon=-77.0861#map=11/38.7079/-77.0861,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-hodgenville-us,Hodgenville,United States,37.5739,-85.7399,locality,automatically_matched,https://www.openstreetmap.org/?mlat=37.5739&mlon=-85.7399#map=11/37.5739/-85.7399,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-washington-dc-us,"Washington, D.C.",United States,38.9072,-77.0369,locality,automatically_matched,https://www.openstreetmap.org/?mlat=38.9072&mlon=-77.0369#map=11/38.9072/-77.0369,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-shadwell-us,Shadwell,United States,38.0143,-78.3978,exact,automatically_matched,https://www.openstreetmap.org/?mlat=38.0143&mlon=-78.3978#map=11/38.0143/-78.3978,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-monticello-us,Monticello,United States,38.0327,-78.5036,exact,automatically_matched,https://www.openstreetmap.org/?mlat=38.0327&mlon=-78.5036#map=11/38.0327/-78.5036,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-new-york-city-us,New York City,United States,40.7128,-74.006,locality,automatically_matched,https://www.openstreetmap.org/?mlat=40.7128&mlon=-74.006#map=11/40.7128/-74.006,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-sagamore-hill-us,Sagamore Hill,United States,40.8856,-73.4979,exact,automatically_matched,https://www.openstreetmap.org/?mlat=40.8856&mlon=-73.4979#map=11/40.8856/-73.4979,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-brookline-us,Brookline,United States,42.3318,-71.1212,locality,automatically_matched,https://www.openstreetmap.org/?mlat=42.3318&mlon=-71.1212#map=11/42.3318/-71.1212,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-dallas-us,Dallas,United States,32.7767,-96.797,locality,automatically_matched,https://www.openstreetmap.org/?mlat=32.7767&mlon=-96.797#map=11/32.7767/-96.797,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-london-gb,London,United Kingdom,51.5074,-0.1278,locality,automatically_matched,https://www.openstreetmap.org/?mlat=51.5074&mlon=-0.1278#map=11/51.5074/-0.1278,,Coordinate selected for game use; review the marker in Data manager before final publication.
place-osborne-house-gb,Osborne House,United Kingdom,50.7505,-1.2699,exact,automatically_matched,https://www.openstreetmap.org/?mlat=50.7505&mlon=-1.2699#map=11/50.7505/-1.2699,,Coordinate selected for game use; review the marker in Data manager before final publication.
